date,resource_id,vm_sku,environment,application,currency,daily_cost,estimated_monthly_cost,avg_cpu,max_cpu,source_type
2025-12-23,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.174,65.22,2.356,4.73,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-24,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1705,65.12,2.206,4.357,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-25,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1683,65.05,2.111,4.817,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-26,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1684,65.05,2.116,4.688,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-27,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1707,65.12,2.216,4.825,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-28,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1658,64.97,2.001,4.484,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-29,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.4998,75.0,16.5,32.167,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-30,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.68,80.4,24.321,30.708,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-31,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1751,65.25,2.407,7.036,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-01,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1649,64.95,1.963,4.168,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-02,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1684,65.05,2.115,4.628,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-03,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1707,65.12,2.214,5.031,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-04,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1668,65.0,2.043,4.447,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-05,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1672,65.02,2.064,4.548,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-06,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1705,65.12,2.206,4.293,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-07,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1671,65.01,2.058,4.306,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-08,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1686,65.06,2.125,5.024,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-09,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1747,65.24,2.39,4.757,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-10,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1763,65.29,2.455,4.724,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-11,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1728,65.18,2.306,4.811,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-12,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1756,65.27,2.427,4.391,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-13,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1651,64.95,1.97,4.327,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-14,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1669,65.01,2.048,4.49,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-15,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1654,64.96,1.983,4.32,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-16,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.174,65.22,2.357,4.584,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-17,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1687,65.06,2.129,4.63,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-18,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1816,65.45,2.687,5.437,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-19,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1692,65.08,2.149,4.763,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-20,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1757,65.27,2.433,4.727,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-21,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1713,65.14,2.242,4.42,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-22,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1645,64.93,1.944,4.346,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-23,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1642,64.93,1.932,4.275,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-24,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1737,65.21,2.346,5.116,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-25,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1687,65.06,2.126,4.377,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-26,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1724,65.17,2.29,4.701,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-27,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.172,65.16,2.271,4.74,synthetic_cost_from_public_cloud_pricing_pattern
2026-01-28,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1687,65.06,2.129,4.369,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-01,BeforeDemo,Standard_B1s,test,untagged,USD,0.2683,8.05,1.17,2.571,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-02,BeforeDemo,Standard_B1s,test,untagged,USD,0.2681,8.04,1.105,2.254,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-03,BeforeDemo,Standard_B1s,test,untagged,USD,0.2679,8.04,1.017,2.228,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-04,BeforeDemo,Standard_B1s,test,untagged,USD,0.2688,8.06,1.333,2.808,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-05,BeforeDemo,Standard_B1s,test,untagged,USD,0.2685,8.06,1.237,2.685,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-06,BeforeDemo,Standard_B1s,test,untagged,USD,0.2687,8.06,1.312,2.788,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-07,BeforeDemo,Standard_B1s,test,untagged,USD,0.2684,8.05,1.194,2.687,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-08,BeforeDemo,Standard_B1s,test,untagged,USD,0.268,8.04,1.047,2.371,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-09,BeforeDemo,Standard_B1s,test,untagged,USD,0.2681,8.04,1.096,2.499,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-10,BeforeDemo,Standard_B1s,test,untagged,USD,0.2686,8.06,1.28,2.649,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-11,BeforeDemo,Standard_B1s,test,untagged,USD,0.2684,8.05,1.179,2.745,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-12,BeforeDemo,Standard_B1s,test,untagged,USD,0.2682,8.05,1.125,2.388,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-13,BeforeDemo,Standard_B1s,test,untagged,USD,0.2686,8.06,1.266,2.384,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-14,BeforeDemo,Standard_B1s,test,untagged,USD,0.2681,8.04,1.107,2.306,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-15,BeforeDemo,Standard_B1s,test,untagged,USD,0.268,8.04,1.062,2.596,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-16,BeforeDemo,Standard_B1s,test,untagged,USD,0.2682,8.05,1.13,2.568,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-17,BeforeDemo,Standard_B1s,test,untagged,USD,0.269,8.07,1.39,2.974,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-18,BeforeDemo,Standard_B1s,test,untagged,USD,0.2686,8.06,1.251,2.727,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-19,BeforeDemo,Standard_B1s,test,untagged,USD,0.2688,8.06,1.321,2.797,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-20,BeforeDemo,Standard_B1s,test,untagged,USD,0.2791,8.37,4.916,12.996,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-21,BeforeDemo,Standard_B1s,test,untagged,USD,0.3118,9.35,16.256,18.172,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-22,BeforeDemo,Standard_B1s,test,untagged,USD,0.3013,9.04,12.603,17.985,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-23,BeforeDemo,Standard_B1s,test,untagged,USD,0.2689,8.07,1.365,3.135,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-24,BeforeDemo,Standard_B1s,test,untagged,USD,0.2684,8.05,1.177,2.637,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-25,BeforeDemo,Standard_B1s,test,untagged,USD,0.2687,8.06,1.286,2.748,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-26,BeforeDemo,Standard_B1s,test,untagged,USD,0.2687,8.06,1.3,2.821,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-27,BeforeDemo,Standard_B1s,test,untagged,USD,0.2686,8.06,1.265,2.556,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-28,BeforeDemo,Standard_B1s,test,untagged,USD,0.2687,8.06,1.286,2.471,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-29,BeforeDemo,Standard_B1s,test,untagged,USD,0.2682,8.04,1.112,2.353,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-30,BeforeDemo,Standard_B1s,test,untagged,USD,0.2681,8.04,1.097,2.422,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-31,BeforeDemo,Standard_B1s,test,untagged,USD,0.2683,8.05,1.174,2.644,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-09,BeforeDemo,Standard_B1s,test,untagged,USD,0.2685,8.05,1.224,2.452,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-10,BeforeDemo,Standard_B1s,test,untagged,USD,0.2683,8.05,1.155,2.524,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-11,BeforeDemo,Standard_B1s,test,untagged,USD,0.2687,8.06,1.287,2.38,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-12,BeforeDemo,Standard_B1s,test,untagged,USD,0.2685,8.05,1.214,2.706,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-13,BeforeDemo,Standard_B1s,test,untagged,USD,0.2681,8.04,1.084,2.198,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-14,BeforeDemo,Standard_B1s,test,untagged,USD,0.2683,8.05,1.158,2.554,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-15,BeforeDemo,Standard_B1s,test,untagged,USD,0.2686,8.06,1.258,2.834,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-16,BeforeDemo,Standard_B1s,test,untagged,USD,0.2683,8.05,1.157,2.622,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-17,BeforeDemo,Standard_B1s,test,untagged,USD,0.2684,8.05,1.198,2.493,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-18,BeforeDemo,Standard_B1s,test,untagged,USD,0.2687,8.06,1.3,2.683,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-19,BeforeDemo,Standard_B1s,test,untagged,USD,0.2853,8.56,7.053,16.07,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-20,BeforeDemo,Standard_B1s,test,untagged,USD,0.2809,8.43,5.533,14.708,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-21,BeforeDemo,Standard_B1s,test,untagged,USD,0.2683,8.05,1.15,2.477,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-22,BeforeDemo,Standard_B1s,test,untagged,USD,0.268,8.04,1.07,2.413,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-23,BeforeDemo,Standard_B1s,test,untagged,USD,0.2682,8.05,1.12,2.313,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-24,BeforeDemo,Standard_B1s,test,untagged,USD,0.2683,8.05,1.147,2.444,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-25,BeforeDemo,Standard_B1s,test,untagged,USD,0.2687,8.06,1.282,2.66,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-26,BeforeDemo,Standard_B1s,test,untagged,USD,0.2683,8.05,1.165,2.359,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-27,BeforeDemo,Standard_B1s,test,untagged,USD,0.2682,8.05,1.121,2.311,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-28,BeforeDemo,Standard_B1s,test,untagged,USD,0.2683,8.05,1.174,2.676,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-29,BeforeDemo,Standard_B1s,test,untagged,USD,0.2686,8.06,1.277,2.635,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-30,BeforeDemo,Standard_B1s,test,untagged,USD,0.2684,8.05,1.207,2.88,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-01,BeforeDemo,Standard_B1s,test,untagged,USD,0.2685,8.06,1.244,2.549,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-02,BeforeDemo,Standard_B1s,test,untagged,USD,0.2682,8.05,1.135,2.567,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-03,BeforeDemo,Standard_B1s,test,untagged,USD,0.2686,8.06,1.253,2.54,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-04,BeforeDemo,Standard_B1s,test,untagged,USD,0.268,8.04,1.043,2.306,synthetic_cost_from_public_cloud_pricing_pattern
